velocity,center,corner,border,mobility,mobile,immobile
0.6932937227838919,0.0,1.0,0.0,8.14162,0.0,0.0
0.38504157433236796,0.0,1.0,0.0,6.86998,0.0,0.0
0.21577521489237403,0.0,1.0,0.0,5.46959,0.0,0.0
0.07006448717519696,0.0,1.0,0.0,4.63148,0.0,1.0
0.03655465714432957,0.0,1.0,0.0,3.54681,0.0,1.0
0.05353243925118495,0.0,1.0,0.0,2.94879,0.0,1.0
0.05221597594523532,0.0,1.0,0.0,2.74127,0.0,1.0
0.046866846685844774,0.0,1.0,0.0,2.56173,0.0,1.0
0.053673147035461194,0.0,1.0,0.0,2.33814,0.0,1.0
0.09714515200614075,0.0,1.0,0.0,2.68536,0.0,1.0
0.060944006418878524,0.0,1.0,0.0,2.81568,0.0,1.0
